ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
297,Frango inteiro sem pele estufado sem molho,Carne e Derivados Criação e Caça,1.4 g,2 g,1.1 g,0.6 g,0 g,680 mg,0 g,33.2 g,0 g,59.1 g,0 g,137 mg,20 µg,0 µg,0.2 µg,0.2 mg,0.12 mg,0.3 mg,14 mg,7.6 mg,0.29 mg,0.55 µg,0 mg,11 µg,1.89 g,270 mg,340 mg,17 mg,220 mg,30 mg,1.3 mg,1.6 mg
298,Frango inteiro sem pele grelhado,Carne e Derivados Criação e Caça,1.3 g,1.6 g,0.9 g,0.9 g,0 g,700 mg,0 g,31 g,0 g,61.6 g,0 g,117 mg,10 µg,0 µg,0.2 µg,0.2 mg,0.14 mg,0.23 mg,15 mg,8.8 mg,0.4 mg,0.63 µg,0 mg,9 µg,2.19 g,280 mg,410 mg,16 mg,220 mg,30 mg,1.2 mg,1.3 mg
299,Peito de frango com pele cru,Carne e Derivados Criação e Caça,2.1 g,2.9 g,1.6 g,1.6 g,0 g,180 mg,0 g,24.1 g,0 g,65.7 g,0 g,85 mg,0 µg,0 µg,0.6 µg,0.14 mg,0.14 mg,0.14 mg,13 mg,8.9 mg,0.51 mg,0.37 µg,0 mg,11 µg,0.80 g,72 mg,320 mg,19 mg,200 mg,17 mg,1 mg,0.8 mg
300,Peito de frango com pele cozido,Carne e Derivados Criação e Caça,1.7 g,2.4 g,1.3 g,1.3 g,0 g,1120 mg,0 g,32.1 g,0 g,59.1 g,0 g,110 mg,0 µg,0 µg,0.5 µg,0.1 mg,0.12 mg,0.2 mg,14 mg,7.9 mg,0.45 mg,0.27 µg,0 mg,8.1 µg,1.12 g,450 mg,190 mg,24 mg,210 mg,20 mg,1.2 mg,1.2 mg
301,Peito de frango com pele estufado com azeite e margarina,Carne e Derivados Criação e Caça,2.5 g,3.8 g,1.9 g,1.82 g,1.7 g,980 mg,0.7 g,22.1 g,0 g,62.8 g,0 g,76 mg,36 µg,183 µg,0.3 µg,0.74 mg,0.1 mg,0.13 mg,12 mg,5.1 mg,0.35 mg,0.17 µg,7.2 mg,12 µg,1.93 g,390 mg,270 mg,26 mg,140 mg,19 mg,1.1 mg,0.8 mg
302,Peito de frango com pele estufado com margarina,Carne e Derivados Criação e Caça,2.9 g,3 g,2.1 g,2.00 g,1.7 g,1020 mg,0.7 g,22.1 g,0 g,63 g,0 g,76 mg,44 µg,188 µg,0.3 µg,0.56 mg,0.1 mg,0.13 mg,12 mg,5.1 mg,0.35 mg,0.17 µg,7.2 mg,12 µg,1.98 g,410 mg,270 mg,26 mg,140 mg,20 mg,1.1 mg,0.8 mg
303,Peito de frango com pele estufado sem molho,Carne e Derivados Criação e Caça,2 g,2.7 g,1.5 g,1.5 g,0 g,650 mg,0 g,34.4 g,0 g,55.3 g,0 g,132 mg,0 µg,0 µg,0.6 µg,0.1 mg,0.12 mg,0.21 mg,15 mg,8.3 mg,0.48 mg,0.29 µg,0 mg,8.5 µg,1.61 g,260 mg,250 mg,26 mg,220 mg,21 mg,1.3 mg,1.1 mg
304,Peito de frango sem pele cru,Carne e Derivados Criação e Caça,0.3 g,0.4 g,0.2 g,0.2 g,0 g,150 mg,0 g,24.1 g,0 g,73.8 g,0.2 g,70 mg,0 µg,0 µg,0.1 µg,0.13 mg,0.14 mg,0.14 mg,16 mg,11 mg,0.49 mg,0.37 µg,0 mg,13 µg,0.80 g,60 mg,370 mg,5 mg,220 mg,29 mg,0.5 mg,0.8 mg
305,Peito de frango sem pele cozido,Carne e Derivados Criação e Caça,0.3 g,0.4 g,0.2 g,0.2 g,0 g,580 mg,0 g,34.5 g,0 g,63.1 g,0 g,94 mg,0 µg,0 µg,0.2 µg,0.1 mg,0.1 mg,0.2 mg,15 mg,9 mg,0.34 mg,0.25 µg,0 mg,12 µg,1.26 g,230 mg,300 mg,6 mg,220 mg,29 mg,0.7 mg,1.2 mg
306,Peito de frango sem pele estufado com azeite e margarina,Carne e Derivados Criação e Caça,0.9 g,1.6 g,0.6 g,0.544 g,1.7 g,1080 mg,0.7 g,21.4 g,0 g,70.8 g,0.2 g,61 mg,35 µg,177 µg,0.1 µg,0.71 mg,0.1 mg,0.13 mg,14.3 mg,6 mg,0.33 mg,0.16 µg,7 mg,13 µg,2.00 g,430 mg,280 mg,15 mg,150 mg,27 mg,0.7 mg,0.7 mg
