ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
484,Ovo (de galinha) estrelado com manteiga,Ovos,5.2 g,5.1 g,2.3 g,2.11 g,0 g,650 mg,0 g,13.7 g,0 g,69.5 g,0 g,442 mg,229 µg,2 µg,1.6 µg,2.53 mg,0.05 mg,0.33 mg,4.01 mg,0.04 mg,0.34 mg,1 µg,0 mg,37 µg,1.22 g,260 mg,140 mg,47 mg,190 mg,12 mg,2.2 mg,1.4 mg
485,Ovo (de galinha) estrelado com margarina,Ovos,4.9 g,5 g,3.4 g,3.02 g,0 g,700 mg,0 g,13.7 g,0 g,69.5 g,0 g,430 mg,231 µg,20 µg,1.6 µg,2.43 mg,0.05 mg,0.32 mg,4.01 mg,0.04 mg,0.34 mg,1 µg,0 mg,37 µg,1.29 g,280 mg,140 mg,47 mg,190 mg,12 mg,2.2 mg,1.4 mg
486,Ovo (de galinha) mexido com manteiga,Ovos,5.7 g,5.1 g,2.3 g,2.03 g,0 g,820 mg,0 g,13 g,0 g,69.5 g,0 g,423 mg,226 µg,3 µg,1.6 µg,2.43 mg,0.05 mg,0.31 mg,3.8 mg,0.04 mg,0.32 mg,0.95 µg,0 mg,35 µg,1.37 g,330 mg,130 mg,45 mg,180 mg,12 mg,2.1 mg,1.3 mg
487,Ovo (de galinha) mexido com margarina,Ovos,5.3 g,5 g,3.5 g,3.19 g,0 g,900 mg,0 g,13 g,0 g,69.5 g,0 g,408 mg,229 µg,26 µg,1.5 µg,2.3 mg,0.05 mg,0.31 mg,3.8 mg,0.04 mg,0.32 mg,0.95 µg,0 mg,35 µg,1.46 g,360 mg,130 mg,44 mg,180 mg,12 mg,2.1 mg,1.3 mg
488,Omoleta com manteiga,Ovos,5.8 g,5.2 g,2.3 g,2.03 g,0 g,1300 mg,0 g,13 g,0 g,68.8 g,0 g,423 mg,228 µg,3 µg,1.6 µg,2.43 mg,0.05 mg,0.31 mg,3.8 mg,0.04 mg,0.32 mg,0.95 µg,0 mg,35 µg,1.85 g,520 mg,130 mg,45 mg,180 mg,14 mg,2.1 mg,1.3 mg
489,Omoleta com margarina,Ovos,5.4 g,5.1 g,3.6 g,3.25 g,0 g,1400 mg,0 g,13 g,0 g,68.8 g,0 g,408 mg,230 µg,27 µg,1.5 µg,2.3 mg,0.05 mg,0.31 mg,3.8 mg,0.04 mg,0.32 mg,0.95 µg,0 mg,35 µg,1.94 g,560 mg,130 mg,44 mg,180 mg,14 mg,2.1 mg,1.3 mg
490,Açorda de ovo,Ovos,0.7 g,2.2 g,0.6 g,0.552 g,14 g,800 mg,0.9 g,3.6 g,0 g,76.5 g,0 g,48 mg,22 µg,0 µg,0.2 µg,0.57 mg,0.02 mg,0.1 mg,1.2 mg,0.32 mg,0.06 mg,0.12 µg,0 mg,13 µg,1.00 g,320 mg,45 mg,16 mg,60 mg,10 mg,0.8 mg,0.4 mg
491,Ervilhas grão congeladas cruas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.2 g,0.2 g,7 g,28 mg,7 g,5.3 g,0 g,79.4 g,0 g,0 mg,67 µg,400 µg,0 µg,0.18 mg,0.32 mg,0.02 mg,2.6 mg,1.8 mg,0.1 mg,0 µg,14 mg,58 µg,0.80 g,11 mg,210 mg,32 mg,96 mg,17 mg,1.1 mg,0.9 mg
492,Ervilhas grão congeladas cozidas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.2 g,0.2 g,7.5 g,250 mg,7.3 g,5.6 g,0 g,78.6 g,0 g,0 mg,64 µg,383 µg,0 µg,0.18 mg,0.25 mg,0.02 mg,2.3 mg,1.4 mg,0.09 mg,0 µg,10 mg,47 µg,0.55 g,100 mg,160 mg,32 mg,91 mg,19 mg,1.2 mg,0.7 mg
493,Ervilhas grão frescas cruas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.3 g,0.3 g,8.6 g,28 mg,4.7 g,6.4 g,0 g,78.6 g,0 g,0 mg,48 µg,290 µg,0 µg,0.2 mg,0.74 mg,0.02 mg,2.1 mg,1.1 mg,0.12 mg,0 µg,20 mg,62 µg,0.92 g,11 mg,360 mg,36 mg,130 mg,21 mg,2 mg,1 mg
494,Ervilhas grão frescas cozidas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.3 g,0.3 g,7.9 g,250 mg,4.8 g,6.2 g,0 g,79.5 g,0 g,0 mg,44 µg,266 µg,0 µg,0.2 mg,0.6 mg,0.02 mg,1.9 mg,0.9 mg,0.09 mg,0 µg,13 mg,38 µg,0.66 g,100 mg,330 mg,37 mg,68 mg,21 mg,1.1 mg,0.4 mg
495,Ervilhas vagens cruas,Leguminosas Frescas e Secas e Derivados,0 g,0.1 g,0.1 g,0.1 g,3.9 g,10 mg,1.5 g,3.1 g,0 g,90.7 g,0 g,0 mg,33 µg,200 µg,0 µg,0.18 mg,0.17 mg,0.14 mg,1 mg,0.5 mg,0.16 mg,0 µg,30 mg,7 µg,0.48 g,4 mg,150 mg,54 mg,39 mg,25 mg,0.7 mg,0.6 mg
496,Ervilhas vagens cozidas,Leguminosas Frescas e Secas e Derivados,0 g,0.1 g,0.1 g,0.1 g,3.5 g,250 mg,1.4 g,2.8 g,0 g,91.8 g,0 g,0 mg,31 µg,184 µg,0 µg,0.2 mg,0.11 mg,0.11 mg,0.8 mg,0.4 mg,0.11 mg,0 µg,19 mg,4 µg,0.40 g,99 mg,130 mg,41 mg,36 mg,17 mg,0.5 mg,0.5 mg
497,Favas frescas cruas,Leguminosas Frescas e Secas e Derivados,0.1 g,0 g,0.3 g,0.1 g,8.5 g,18 mg,6.1 g,7.4 g,0 g,76.6 g,0 g,0 mg,11 µg,64 µg,0 µg,0.46 mg,0.04 mg,0.04 mg,2.4 mg,1.2 mg,0.06 mg,0 µg,23 mg,150 µg,0.84 g,7 mg,270 mg,25 mg,87 mg,32 mg,1.2 mg,1 mg
498,Favas frescas cozidas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.3 g,0.1 g,7.4 g,250 mg,5.8 g,6.7 g,0 g,79.1 g,0 g,0 mg,9 µg,55 µg,0 µg,0.4 mg,0.03 mg,0.03 mg,1.9 mg,0.9 mg,0.04 mg,0 µg,14 mg,83 µg,0.62 g,100 mg,230 mg,24 mg,79 mg,30 mg,1 mg,0.9 mg
499,Feijão verde fresco cru,Leguminosas Frescas e Secas e Derivados,0.1 g,0 g,0.2 g,0.1 g,3.8 g,5 mg,3 g,1.9 g,0 g,90 g,0 g,0 mg,43 µg,260 µg,0 µg,0.2 mg,0.05 mg,0.07 mg,1.2 mg,0.7 mg,0.05 mg,0 µg,17 mg,80 µg,0.98 g,2 mg,250 mg,40 mg,35 mg,17 mg,0.7 mg,0.2 mg
500,Feijão verde fresco cozido,Leguminosas Frescas e Secas e Derivados,0.1 g,0 g,0.2 g,0.1 g,3.5 g,240 mg,3 g,1.8 g,0 g,90.8 g,0 g,0 mg,40 µg,239 µg,0 µg,0.18 mg,0.04 mg,0.06 mg,1 mg,0.6 mg,0.04 mg,0 µg,11 mg,49 µg,0.65 g,98 mg,230 mg,41 mg,34 mg,17 mg,0.6 mg,0.2 mg
501,Ervilhas secas cruas,Leguminosas Frescas e Secas e Derivados,0.5 g,0.4 g,0.1 g,0.1 g,49.4 g,100 mg,15 g,22.7 g,0 g,9.3 g,0 g,0 mg,44 µg,262 µg,0 µg,1 mg,0.88 mg,0.3 mg,6.6 mg,2.9 mg,0.13 mg,0 µg,0 mg,33 µg,2.30 g,40 mg,1040 mg,61 mg,340 mg,120 mg,3.7 mg,3.7 mg
502,Ervilhas secas cozidas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.1 g,0.1 g,18.1 g,620 mg,5.1 g,6.9 g,0 g,69.1 g,0 g,0 mg,13 µg,80 µg,0 µg,0.34 mg,0.11 mg,0.07 mg,2.1 mg,1 mg,0.36 mg,0 µg,0 mg,10 µg,0.87 g,250 mg,270 mg,24 mg,110 mg,32 mg,1.4 mg,1 mg
503,Favas secas cruas,Leguminosas Frescas e Secas e Derivados,0.2 g,0.3 g,0.5 g,0.5 g,32.8 g,32 mg,27.6 g,25.8 g,0 g,9 g,0 g,0 mg,5 µg,30 µg,0 µg,0.46 mg,0.43 mg,0.26 mg,6.7 mg,2.6 mg,0.37 mg,0 µg,0 mg,150 µg,3.50 g,13 mg,1090 mg,100 mg,330 mg,200 mg,5 mg,3.2 mg
504,Favas secas cozidas (demolhadas),Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.2 g,0.2 g,10.7 g,620 mg,5 g,7.9 g,0 g,73.8 g,0 g,0 mg,38 µg,225 µg,0 µg,0.6 mg,0.03 mg,0.06 mg,4.3 mg,3 mg,0.08 mg,0 µg,8 mg,32 µg,2.00 g,250 mg,280 mg,56 mg,150 mg,38 mg,1.6 mg,1 mg
505,Feijão branco cru,Leguminosas Frescas e Secas e Derivados,0.3 g,0.4 g,0.4 g,0.4 g,43.9 g,110 mg,22.9 g,21 g,0 g,8 g,0 g,0 mg,0 µg,0 µg,0 µg,0.2 mg,0.35 mg,0.17 mg,4.6 mg,1.2 mg,0.35 mg,0 µg,0 mg,300 µg,2.80 g,43 mg,1160 mg,180 mg,310 mg,180 mg,6.1 mg,2.8 mg
506,Feijão branco cozido (demolhado),Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.2 g,0.2 g,14.6 g,650 mg,6.7 g,6.6 g,0 g,69.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0.07 mg,0.1 mg,0.04 mg,1.7 mg,0.6 mg,0.12 mg,0 µg,0 mg,43 µg,2.00 g,260 mg,320 mg,65 mg,120 mg,47 mg,2.5 mg,1 mg
507,Feijão frade (feijão miúdo) cru,Leguminosas Frescas e Secas e Derivados,0.6 g,0.1 g,0.9 g,0.9 g,55.3 g,45 mg,9.4 g,22.6 g,0 g,8.2 g,0 g,0 mg,5 µg,30 µg,0 µg,0.3 mg,0.54 mg,0.18 mg,6.9 mg,2.1 mg,0.37 mg,0 µg,1 mg,630 µg,3.20 g,18 mg,1100 mg,81 mg,410 mg,130 mg,5.2 mg,3.5 mg
508,Feijão frade (feijão miúdo) cozido (demolhado),Leguminosas Frescas e Secas e Derivados,0.2 g,0.1 g,0.3 g,0.3 g,18.1 g,600 mg,4.7 g,8.8 g,0 g,66.2 g,0 g,0 mg,2 µg,13 µg,0 µg,0.2 mg,0.19 mg,0.05 mg,2.4 mg,0.5 mg,0.1 mg,0 µg,0 mg,210 µg,1.40 g,240 mg,320 mg,21 mg,140 mg,47 mg,1.9 mg,1.1 mg
509,Feijão manteiga cru,Leguminosas Frescas e Secas e Derivados,0.3 g,0.4 g,0.4 g,0.4 g,42.6 g,32 mg,22.9 g,21.8 g,0 g,8.3 g,0 g,0 mg,0 µg,0 µg,0 µg,0.3 mg,0.61 mg,0.19 mg,4.9 mg,1.4 mg,0.6 mg,0 µg,0 mg,360 µg,3.00 g,13 mg,1370 mg,160 mg,300 mg,140 mg,7.8 mg,4.9 mg
510,Feijão manteiga cozido (demolhado),Leguminosas Frescas e Secas e Derivados,0.1 g,0.2 g,0.2 g,0.2 g,14 g,620 mg,7 g,7.8 g,0 g,68.6 g,0 g,0 mg,1 µg,4 µg,0 µg,0.1 mg,0.14 mg,0.07 mg,1.9 mg,0.7 mg,0.1 mg,0 µg,0 mg,43 µg,2.00 g,250 mg,420 mg,50 mg,150 mg,51 mg,2.7 mg,1 mg
511,Feijão manteiga burger de feijão frito com azeite,Leguminosas Frescas e Secas e Derivados,0.9 g,3.3 g,0.7 g,0.631 g,19.8 g,1100 mg,4.9 g,8 g,0 g,59.7 g,0 g,46 mg,41 µg,113 µg,0.2 µg,0.89 mg,0.11 mg,0.11 mg,2.28 mg,0.74 mg,0.13 mg,0.11 µg,6.9 mg,30 µg,2.27 g,440 mg,340 mg,54 mg,150 mg,42 mg,2.4 mg,1 mg
512,Feijão manteiga burger de feijão frito com óleo de milho,Leguminosas Frescas e Secas e Derivados,0.9 g,1.5 g,2.3 g,2.17 g,19.8 g,1100 mg,4.9 g,8 g,0 g,59.7 g,0 g,46 mg,42 µg,118 µg,0.2 µg,1.26 mg,0.11 mg,0.11 mg,2.28 mg,0.74 mg,0.13 mg,0.11 µg,6.9 mg,30 µg,2.27 g,440 mg,340 mg,54 mg,150 mg,42 mg,2.4 mg,1 mg
513,Feijoada com carne de porco,Leguminosas Frescas e Secas e Derivados,2.1 g,3.2 g,1 g,0.886 g,13.3 g,1000 mg,6.8 g,13.6 g,0.2 g,56.2 g,0 g,25 mg,135 µg,808 µg,0.1 µg,0.68 mg,0.23 mg,0.12 mg,5.39 mg,2 mg,0.21 mg,0.26 µg,3.4 mg,54 µg,2.57 g,400 mg,490 mg,65 mg,150 mg,60 mg,2.3 mg,1.7 mg
514,Feijoada com carne de porco e de vaca,Leguminosas Frescas e Secas e Derivados,2.3 g,3.5 g,0.9 g,0.768 g,13.3 g,1000 mg,6.8 g,13.7 g,0.2 g,55.9 g,0 g,26 mg,135 µg,808 µg,0.2 µg,0.58 mg,0.19 mg,0.11 mg,4.92 mg,1.7 mg,0.21 mg,0.35 µg,3.4 mg,55 µg,2.56 g,400 mg,490 mg,65 mg,160 mg,60 mg,2.4 mg,2.1 mg
515,Grão-de-bico cru,Leguminosas Frescas e Secas e Derivados,0.5 g,1 g,2.5 g,2.5 g,51.4 g,15 mg,13.5 g,19 g,0 g,8 g,0 g,0 mg,10 µg,60 µg,0 µg,2.7 mg,0.41 mg,0.15 mg,4.4 mg,1.9 mg,0.5 mg,0 µg,3 mg,180 µg,3.00 g,6 mg,980 mg,140 mg,240 mg,100 mg,6.3 mg,2.5 mg
516,Grão-de-bico cozido (demolhado),Leguminosas Frescas e Secas e Derivados,0.2 g,0.4 g,1 g,1.0 g,16.7 g,600 mg,5.1 g,8.4 g,0 g,65.8 g,0 g,0 mg,4 µg,23 µg,0 µg,1.1 mg,0.1 mg,0.07 mg,1.8 mg,0.7 mg,0.14 mg,0 µg,0 mg,54 µg,1.50 g,240 mg,270 mg,46 mg,83 mg,39 mg,2.1 mg,1.2 mg
517,Lentilhas secas cruas,Leguminosas Frescas e Secas e Derivados,0.1 g,0.1 g,0.3 g,0.3 g,47.6 g,30 mg,11.8 g,25.2 g,0 g,10.3 g,0 g,0 mg,10 µg,60 µg,0 µg,0 mg,0.43 mg,0.27 mg,5.3 mg,1.9 mg,0.93 mg,0 µg,0 mg,110 µg,2.40 g,12 mg,940 mg,74 mg,360 mg,110 mg,6.8 mg,3.9 mg
518,Lentilhas secas cozidas,Leguminosas Frescas e Secas e Derivados,0 g,0.1 g,0.1 g,0.1 g,16.7 g,400 mg,4.4 g,9.1 g,0 g,67.2 g,0 g,0 mg,4 µg,22 µg,0 µg,0 mg,0.13 mg,0.07 mg,1.7 mg,0.5 mg,0.24 mg,0 µg,0 mg,25 µg,0.90 g,160 mg,280 mg,25 mg,110 mg,33 mg,2.3 mg,1.4 mg
519,Soja grão seco cru,Leguminosas Frescas e Secas e Derivados,2.5 g,4.3 g,11.5 g,10.4 g,18.3 g,10 mg,14.3 g,32.8 g,0 g,10 g,0 g,0 mg,17 µg,103 µg,0 µg,2.9 mg,1.2 mg,0.49 mg,7 mg,1.8 mg,0.6 mg,0 µg,0 mg,330 µg,5.00 g,4 mg,1750 mg,250 mg,670 mg,250 mg,8 mg,3.8 mg
520,Soja cozida sem sal,Leguminosas Frescas e Secas e Derivados,1 g,1.7 g,4.5 g,4.1 g,5.6 g,2.5 mg,5.6 g,12.5 g,0 g,67 g,0 g,0 mg,7 µg,40 µg,0 µg,1 mg,0.3 mg,0.14 mg,2.5 mg,0.5 mg,0.16 mg,0 µg,0 mg,64 µg,1.50 g,1 mg,510 mg,82 mg,240 mg,84 mg,2.6 mg,1.4 mg
521,Soja farinha com baixo teor de gordura,Leguminosas Frescas e Secas e Derivados,0.3 g,0.5 g,1.3 g,1.1 g,21.8 g,32 mg,13.5 g,44 g,0 g,12.5 g,0 g,0 mg,6 µg,35 µg,0 µg,0 mg,1.2 mg,0.28 mg,12 mg,2.3 mg,0.49 mg,0 µg,0 mg,410 µg,5.30 g,13 mg,1910 mg,260 mg,610 mg,270 mg,6 mg,3 mg
522,Bebida à base de soja com açúcar com cálcio sal e aromas,Leguminosas Frescas e Secas e Derivados,0.3 g,0.5 g,1.3 g,1.1 g,4.2 g,420 mg,1.2 g,3.6 g,0 g,88.5 g,0 g,0 mg,0 µg,0 µg,0 µg,0.2 mg,0.08 mg,0.04 mg,1 mg,0.1 mg,0.04 mg,0 µg,0 mg,17 µg,0.61 g,170 mg,130 mg,120 mg,48 mg,18 mg,0.6 mg,0.3 mg
523,Bebida à base de soja com açúcar sal e aromas,Leguminosas Frescas e Secas e Derivados,0.4 g,0.5 g,1.3 g,1.1 g,6.4 g,200 mg,0.3 g,3.8 g,0 g,84 g,0 g,0 mg,0 µg,0 µg,0 µg,0.2 mg,0.08 mg,0.04 mg,1 mg,0.1 mg,0.04 mg,0 µg,0 mg,17 µg,0.40 g,80 mg,130 mg,18 mg,48 mg,18 mg,0.4 mg,0.3 mg
524,Bebida à base de soja natural sem açúcar e sem sal,Leguminosas Frescas e Secas e Derivados,0.4 g,0.5 g,1.3 g,1.1 g,0.4 g,75 mg,0.3 g,3.7 g,0 g,93 g,0 g,0 mg,0 µg,0 µg,0 µg,0.2 mg,0.08 mg,0.04 mg,1 mg,0.1 mg,0.04 mg,0 µg,0 mg,17 µg,0.40 g,30 mg,130 mg,18 mg,48 mg,18 mg,0.4 mg,0.3 mg
525,Tofu simples,Leguminosas Frescas e Secas e Derivados,0.6 g,1 g,2.5 g,2.2 g,0.7 g,15 mg,0.3 g,8.5 g,0 g,85 g,0 g,0 mg,0 µg,2 µg,0 µg,1 mg,0.07 mg,0.03 mg,1.5 mg,0.1 mg,0.06 mg,0 µg,0 mg,15 µg,1.40 g,6 mg,75 mg,130 mg,110 mg,91 mg,1.6 mg,1 mg
526,Tofu frito com azeite,Leguminosas Frescas e Secas e Derivados,1.1 g,3.5 g,2.8 g,2.42 g,1.1 g,650 mg,0.4 g,8.7 g,0 g,80.4 g,0 g,0 mg,1 µg,10 µg,0 µg,1.46 mg,0.08 mg,0.03 mg,1.56 mg,0.12 mg,0.07 mg,0 µg,0.6 mg,13 µg,2.08 g,260 mg,88 mg,130 mg,110 mg,94 mg,1.6 mg,1 mg
527,Tofu frito com óleo de milho,Leguminosas Frescas e Secas e Derivados,1 g,1.8 g,4.3 g,3.91 g,1.1 g,650 mg,0.4 g,8.7 g,0 g,80.4 g,0 g,0 mg,2 µg,15 µg,0 µg,1.81 mg,0.08 mg,0.03 mg,1.56 mg,0.12 mg,0.07 mg,0 µg,0.6 mg,13 µg,2.08 g,260 mg,88 mg,130 mg,110 mg,94 mg,1.6 mg,1 mg
528,Tremoço cozido e salgado,Leguminosas Frescas e Secas e Derivados,0.3 g,1 g,0.6 g,0.5 g,7.2 g,2280 mg,4.8 g,16.4 g,0 g,66.1 g,0 g,0 mg,0 µg,0 µg,0 µg,0.1 mg,0.1 mg,0.01 mg,2.7 mg,0.5 mg,0.12 mg,0 µg,0 mg,110 µg,3.10 g,910 mg,240 mg,45 mg,100 mg,54 mg,5.5 mg,1.5 mg
529,Arroz carolino branqueado cru,Cereais e Derivados,0.1 g,0.1 g,0.2 g,0.2 g,79.6 g,15 mg,2.2 g,7.4 g,0 g,10.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0.1 mg,0.07 mg,0.03 mg,3.6 mg,2 mg,0.3 mg,0 µg,0 mg,20 µg,1.00 g,6 mg,110 mg,11 mg,92 mg,13 mg,0.6 mg,1.3 mg
530,Arroz comum cru,Cereais e Derivados,0.1 g,0.1 g,0.1 g,0.1 g,78.1 g,15 mg,2.1 g,6.7 g,0 g,13.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0.1 mg,0.06 mg,0.03 mg,3.4 mg,2 mg,0.29 mg,0 µg,0 mg,19 µg,0.50 g,6 mg,94 mg,13 mg,87 mg,32 mg,0.6 mg,1.3 mg
531,Arroz cozido simples,Cereais e Derivados,0 g,0.1 g,0.1 g,0 g,28 g,750 mg,0.8 g,2.5 g,0 g,68.4 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.01 mg,1.1 mg,0.6 mg,0.08 mg,0 µg,0 mg,5.8 µg,0.90 g,300 mg,36 mg,7 mg,33 mg,15 mg,0.2 mg,0.6 mg
532,Arroz integral cru,Cereais e Derivados,0.5 g,0.6 g,0.9 g,0.8 g,71.6 g,7.5 mg,3.8 g,8.6 g,0 g,12.2 g,0 g,0 mg,0 µg,0 µg,0 µg,0.7 mg,0.4 mg,0.1 mg,6 mg,4.1 mg,0.6 mg,0 µg,0 mg,55 µg,1.30 g,3 mg,250 mg,9 mg,270 mg,110 mg,1.7 mg,1.4 mg
533,Arroz de cenoura com azeite,Cereais e Derivados,0.6 g,3.2 g,0.3 g,0.286 g,19.9 g,680 mg,1 g,1.8 g,0 g,72.5 g,0 g,0 mg,143 µg,859 µg,0 µg,0.7 mg,0.02 mg,0.01 mg,1.06 mg,0.54 mg,0.07 mg,0 µg,0.8 mg,6.9 µg,0.925 g,270 mg,67 mg,12 mg,28 mg,12 mg,0.3 mg,0.3 mg
534,Arroz de manteiga,Cereais e Derivados,4.3 g,1.8 g,0.3 g,0.239 g,44.4 g,920 mg,1.2 g,3.8 g,0 g,42.7 g,0 g,21 mg,51 µg,4 µg,0.1 µg,0.24 mg,0.02 mg,0.01 mg,1.93 mg,0.91 mg,0.1 mg,0 µg,0 mg,7.6 µg,1.20 g,370 mg,43 mg,8.7 mg,50 mg,21 mg,0.4 mg,0.7 mg
535,Arroz de peixe,Cereais e Derivados,0.6 g,1.5 g,1.4 g,0.935 g,15.5 g,600 mg,0.7 g,7 g,0 g,72.1 g,0 g,8 mg,11 µg,58 µg,1.2 µg,1.26 mg,0.02 mg,0.02 mg,2.14 mg,0.59 mg,0.07 mg,0.08 µg,1.7 mg,9 µg,1.10 g,240 mg,120 mg,15 mg,75 mg,17 mg,0.3 mg,0.5 mg
536,Arroz de polvo com azeite,Cereais e Derivados,0.7 g,3.2 g,0.6 g,0.276 g,10.9 g,550 mg,0.4 g,10.2 g,0 g,73 g,0 g,42 mg,3 µg,0 µg,0 µg,1.46 mg,0.02 mg,0.02 mg,3.6 mg,0.96 mg,0.05 mg,0.55 µg,0.5 mg,6.3 µg,1.02 g,220 mg,70 mg,15 mg,76 mg,23 mg,0.3 mg,1.2 mg
537,Arroz de tomate com azeite,Cereais e Derivados,0.6 g,3.1 g,0.4 g,0.359 g,20.1 g,650 mg,1.2 g,2 g,0 g,71.8 g,0 g,0 mg,36 µg,216 µg,0 µg,1.09 mg,0.03 mg,0.01 mg,1.17 mg,0.58 mg,0.1 mg,0 µg,5.1 mg,7.7 µg,1.04 g,260 mg,80 mg,11 mg,30 mg,13 mg,0.4 mg,0.4 mg
538,Arroz de tomate com margarina,Cereais e Derivados,1.6 g,0.7 g,1 g,0.903 g,20.2 g,750 mg,1.2 g,2 g,0 g,72.5 g,0 g,0 mg,59 µg,231 µg,0 µg,0.54 mg,0.03 mg,0.01 mg,1.17 mg,0.58 mg,0.1 mg,0 µg,5.1 mg,7.7 µg,1.16 g,300 mg,80 mg,11 mg,30 mg,13 mg,0.4 mg,0.4 mg
539,Arroz de frango,Cereais e Derivados,1.5 g,3.9 g,1.2 g,1.01 g,25.2 g,880 mg,1 g,8.4 g,0 g,56.9 g,0 g,31 mg,20 µg,83 µg,0.1 µg,0.73 mg,0.04 mg,0.08 mg,4.36 mg,1.8 mg,0.14 mg,0.13 µg,2.4 mg,8 µg,1.40 g,350 mg,95 mg,12 mg,71 mg,19 mg,0.5 mg,0.7 mg
540,Milho grão seco cru,Cereais e Derivados,0.8 g,1.4 g,2.4 g,2.3 g,70.3 g,35 mg,2.9 g,9.3 g,0 g,11.9 g,0 g,0 mg,0 µg,0 µg,0 µg,2 mg,0.63 mg,0.18 mg,2.6 mg,1.6 mg,0.62 mg,0 µg,0 mg,26 µg,1.50 g,14 mg,280 mg,14 mg,180 mg,110 mg,2.5 mg,2.4 mg
541,Milho amido (pó),Cereais e Derivados,0 g,0.1 g,0.1 g,0.1 g,90.2 g,140 mg,0.1 g,0.4 g,0 g,9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.1 mg,0.02 mg,0.1 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.19 g,54 mg,63 mg,11 mg,13 mg,7 mg,0.4 mg,0.3 mg
542,Farinha de centeio tipo 70,Cereais e Derivados,0.1 g,0.2 g,0.5 g,0.4 g,78.5 g,2.5 mg,7 g,6.6 g,0 g,12.5 g,0 g,0 mg,0 µg,0 µg,0 µg,0.8 mg,0.31 mg,0.11 mg,2 mg,0.5 mg,0.36 mg,0 µg,0 mg,63 µg,0.70 g,1 mg,240 mg,23 mg,110 mg,49 mg,1.6 mg,1.6 mg
543,Farinha de centeio tipo 85,Cereais e Derivados,0.2 g,0.1 g,0.7 g,0.6 g,76 g,2.5 mg,11.7 g,9 g,0 g,11.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0.9 mg,0.38 mg,0.15 mg,2 mg,0.3 mg,0.35 mg,0 µg,0 mg,78 µg,1.10 g,1 mg,410 mg,36 mg,190 mg,92 mg,1.9 mg,3 mg
544,Farinha de milho tipo 70,Cereais e Derivados,0.3 g,0.6 g,1.1 g,1.0 g,75.3 g,2.5 mg,2.6 g,8.3 g,0 g,13 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.36 mg,0.1 mg,1.9 mg,1 mg,0.56 mg,0 µg,0 mg,10 µg,0.50 g,1 mg,120 mg,8 mg,100 mg,46 mg,0.8 mg,1 mg
545,Farinha de trigo tipo 55,Cereais e Derivados,0.2 g,0.1 g,0.4 g,0.4 g,74.3 g,7.5 mg,2.9 g,7.8 g,0 g,13.4 g,0 g,0 mg,0 µg,0 µg,0 µg,0.3 mg,0.1 mg,0.03 mg,2.7 mg,1.1 mg,0.15 mg,0 µg,0 mg,22 µg,0.50 g,3 mg,130 mg,26 mg,140 mg,36 mg,1.2 mg,0.9 mg
546,Farinha de trigo tipo 150,Cereais e Derivados,0.3 g,0.1 g,0.6 g,0.6 g,73 g,7.5 mg,3.7 g,9.1 g,0 g,10.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0.3 mg,0.1 mg,0.03 mg,2.6 mg,0.7 mg,0.15 mg,0 µg,0 mg,22 µg,1.60 g,3 mg,160 mg,29 mg,100 mg,21 mg,1.1 mg,0.6 mg
547,Farinha de trigo integral,Cereais e Derivados,0.3 g,0.2 g,0.9 g,0.8 g,65.2 g,7.5 mg,8.6 g,9.6 g,0 g,12.6 g,0 g,0 mg,0 µg,0 µg,0 µg,1.4 mg,0.37 mg,0.09 mg,7.4 mg,5.4 mg,0.43 mg,0 µg,0 mg,43 µg,1.58 g,3 mg,370 mg,45 mg,420 mg,140 mg,4.3 mg,3 mg
